Gene	test_allele_count	test_gnomAD_allele_count_iCFgCFadjust	test_P_rvexcaliber_base_iCFgCFadjust
RAD9A	10	14.8714289651605	0.92209282665885
TRPM1	53	63.2151013524084	0.922246030965768
WDR81	18	24.274928492698	0.923111530001899
IL4I1	5	8.19722758439628	0.923998062789604
NLRP8	15	20.4841658098655	0.925201183027544
OBSCN	95	109.989607312574	0.925946200982563
CDCA4	5	9.33987874962984	0.926332737629736
FBXL7	7	11.9409670677684	0.927758502563941
ANKRD24	3	5.55049246480527	0.929687651601484
MAP2K7	9	13.4266597883019	0.931651824440279
ITPR3	24	31.3069766254039	0.932004068546517
OR5M11	46	55.7782074274635	0.933033482397059
FITM1	9	13.9402431872221	0.933057985897928
SLC23A2	6	9.66110797895761	0.933120285035031
EIF3F	9	13.9556645121792	0.933453934009754
PCDHB12	19	25.4218752792156	0.934402620008858
SPTBN1	3	5.61635929865784	0.934793260999414
TYRO3	4	7.0273586276497	0.935235583484413
MRS2	13	18.4033667470232	0.935689756288046
PALLD	3	5.65488635867175	0.937505519938666
NEFH	17	23.2374304297158	0.938188588974298
GNRHR	10	14.8424198647164	0.938555300938946
FGD6	22	29.3952483276028	0.939154834761159
SKAP1	4	7.1060285274588	0.940263289173868
TLR5	47	58.0527411384226	0.941631601657975
TRAF3	8	12.4950679356223	0.945218253383885
MAP2K3	5	8.59041021688368	0.946384913248738
CNGA1	3	5.80856609913227	0.94747898965481
MDC1	22	30.4465153716889	0.947659369578467
CYP11B2	10	15.5996226173578	0.948386652289024
PINK1	11	16.347969069639	0.948977791287438
SLTM	9	15.3699935516711	0.950166876546804
PLG	10	15.1877033478625	0.950968140102316
OR5C1	9	15.0022404257324	0.951855912271853
GRIN3A	15	21.4021762101766	0.952069090842045
CFAP45	11	16.4687880990975	0.952098038926276
OR5A2	6	10.0705092744659	0.952486055070051
DYRK4	7	11.4535990723382	0.954603420130755
TBC1D9B	24	31.8616570939207	0.955789128815567
XAB2	2	4.42490082843266	0.956588747084166
FRS2	4	7.9613170721014	0.956889963173466
ITGA8	2	4.44471882829331	0.957988597202457
TRMT12	5	9.30841573409438	0.95807291344889
OR6C6	6	10.6080908664346	0.958419056332518
ANKS4B	6	10.238006129007	0.958862492894251
OR8I2	128	160.828075958393	0.960259391495865
AGL	16	23.3398696908322	0.960428587451404
PCSK5	30	39.3587525634058	0.96072955516363
NID1	29	38.3291356410611	0.962008759066581
AP4M1	8	13.6178194051556	0.96286707620168
ABCA10	128	159.941242328855	0.96301119899108
ADAMTS3	17	24.3152948224746	0.964186238780325
TNRC6B	31	56.0127046868295	0.964779731100038
TEX26	6	10.4401355563661	0.965524289520953
PYGO1	2	4.58298114193309	0.965856269515373
HAT1	4	7.63724204187447	0.96606401332356
TRDN	2	4.60178525739959	0.967108091252246
IDI2	46	58.3982042313805	0.967432492209977
WDR37	7	11.8993959412077	0.968536646177924
PENK	6	10.5543587509685	0.968910483571988
ANKLE1	8	13.2605283065759	0.96924787324389
MYO3B	20	29.0097648880271	0.969498213267685
TP63	10	15.6891284605704	0.969658504415739
CCDC103	4	7.75645142751276	0.969898467365545
FAM126A	10	17.0101260472775	0.970641241338809
ESF1	10	16.1247571605827	0.970787878672601
KIF27	19	27.9592770188408	0.970790651722299
COBLL1	4	7.77981826084604	0.970862406066981
WDR93	9	14.6493494349755	0.971239395909978
IGLL1	11	20.0852943697414	0.97132410836104
ZNF766	11	17.8155446480582	0.971462534426462
FAM126B	4	8.39806989737056	0.972035794527962
ENTPD1	7	12.0378768225908	0.972046212716812
PLCG2	19	27.1514460943505	0.972093838834171
CHRNA3	7	12.0512374801422	0.972341066093884
RPP30	8	13.3758698714974	0.972345938998373
BHLHE40	5	9.27241137754362	0.972450199284099
CCNH	4	7.67576980789386	0.972566844386485
LPL	58	72.5780394336958	0.972593140160576
MPHOSPH9	20	28.409326573005	0.972634043459838
ERRFI1	6	10.6884008583612	0.972672706901081
PDHA2	6	10.7049458537753	0.972936730016387
OR13F1	8	13.746344722876	0.973635475389144
ASCL3	7	12.1358871429971	0.974270789701862
NLRP1	26	38.1280858354852	0.974298946190068
MRGPRX3	45	58.2824868254664	0.974299560523556
PSMG2	4	7.89207455707668	0.974442472251013
SMAD4	4	7.90115325896616	0.974706365167253
